id,name,time,lat,lng
6469,云阳区农坝镇龙堰社区龙泉北路,1581177600,31.378717,108.747056
6470,云阳区南溪镇丽城小区,1581004800,31.121082,108.826730
6471,云阳区南溪镇塔棚村,1581004800,31.109638,108.938432
6472,云阳区南溪镇新云村,1581177600,31.121082,108.826730
6473,云阳区双江街道云江大道梨园社区,1581177600,30.944820,108.726406
6474,云阳区双江街道北部新区桂湾路,1581004800,30.946412,108.710371
6475,云阳区宝坪镇凤凰村,1581004800,30.940343,108.915423
6476,云阳区宝坪镇双坝村,1581177600,30.919252,108.918474
6477,云阳区宝坪镇江南村,1581004800,30.947242,108.897918
6478,云阳区新津乡作坊村,1581177600,30.923217,109.000576
6479,云阳区普安乡佛手村,1581004800,30.863569,108.885931
6480,云阳区水口镇宫观路,1581177600,31.009179,108.775712
6481,云阳区江口镇和平社区,1581004800,31.227846,108.803316
6482,云阳区江口镇帆水社区,1581004800,31.227846,108.803316
6483,云阳区江口镇滨河社区,1581177600,31.224328,108.806110
6484,云阳区盘龙街道永兴路,1581177600,30.910472,108.723994
6485,云阳区青龙街道白鹤社区五同路,1581177600,30.932172,108.725490
6486,云阳区高阳镇桂林村,1581177600,31.127931,108.701598
6487,云阳区高阳镇荣华社区青乐路,1581004800,31.101480,108.687883
6488,云阳区黄石镇兴旺路,1581177600,31.004448,108.728494
6489,云阳区龙角镇木虎村,1581004800,30.809711,108.877856
6490,奉节县西部新区飞洋世纪城1栋,1581696000,31.030775,109.422239
6491,汇川区泗渡镇泗渡居,1581696000,27.920491,106.943140
6492,汇川区董公寺镇建国社区代家坝还房小区,1581350400,27.719814,106.932532
6493,易县桥家河乡寨头村,1581609600,39.223983,114.912175
6494,双流区天府新区海伦春天,1581350400,30.492907,104.050820
6495,大邑县官渡东路东一巷,1581609600,30.579310,103.527982
6496,成华区东桂一号院,1581523200,30.644153,104.134115
6497,武侯区双楠府邸,1581523200,30.644874,104.039040
6498,武侯区武侯山庄,1581609600,30.636585,104.017713
6499,温江区华丽花园小区,1581609600,30.692787,103.845259
6500,温江区瑞景澜庭,1581696000,30.698843,103.877568
6501,郫都区鼎犀名城,1581523200,30.746843,103.991416
6502,金堂县怡静湖,1581177600,30.854064,104.387454
6503,金牛区一环路北二段7号院,1581609600,30.692592,104.070092
6504,双流区天府新区复地御香山,1581523200,30.481030,104.073996
6505,东兴区永福镇,1581696000,29.797694,105.350332
6506,丰台区花乡幸福家园小区东区,1581696000,39.824184,116.317202
6507,南岗区保利清华1号楼,1580745600,45.725357,126.611982
6508,南岗区保利清华小区4号楼,1580659200,45.725562,126.610033
6509,南岗区信恒现代城西栋,1580832000,45.765275,126.717895
6510,南岗区八元小区8号楼,1581350400,45.738164,126.631952
6511,南岗区大众新城11栋,1580659200,45.702492,126.641159
6512,南岗区大众新城二期203栋,1581004800,45.699156,126.637910
6513,南岗区文明街文海西畔3号楼,1580918400,45.751429,126.651451
