datetime,anhui,beijing,chongqing,fujian,gansu,guangdong,guangxi,guizhou,hainan,hebei,heilongjiang,henan,hongkong,hubei,hunan,neimenggu,jiangsu,jiangxi,jilin,liaoning,macau,ningxia,qinghai,shaanxi,shandong,shanghai,shanxi,sichuan,taiwan,tianjin,xinjiang,yunan,zhejiang,illinoise-us,washington-us,japan,thailand,south korea,singapore,vietnam,france,australia,nepal,malaysia,philippines,mexico,brazil,colombia
"Tuesday, January 21, 2020 12:00 PM",0-3,10,5,,,17-4,0-1,0-1,0-1,,0-1,1,0-117,270-11,1,,,2,0-1,0-1,,0-1,,,1,9-10,,2-1,1,2,,1,5,,1,1,2,1,,,,,,,,,,
"Wednesday, January 22, 2020 12:00 PM",1-4,14,6,1,,26-1,2-1,1,4,1,0-1,5,0-117,444,4,,1,2,0-1,2,1,1,,,2,9-10,1,5-2,1,4,,1,10,,1,2,2,1,,,,,,,,,,
"Thursday, January 23, 2020 12:00 PM",9-4,22,9,5-2,2,32-1-2,5,3,5-32,1-0-0-1,2,5,2-65,444-0-28-17,9,0-1,5,7,1,3,2,1,,3-1,6-2,16-22,1,8-2,1,4,2,2,27,,1,1,3,1,1,2,,0-1,,0-4,0-4,0-1,0-1,0-1
"Friday, January 24, 2020 12:00 PM",15-4,36-0-1,27-13,10-2,2,53-0-2,23,3,8-32,2,4-0-0-1,24,2-36,549-0-31-24,24,1-2,9,18,3,4,2,2,0-1,5,15,20-22-1,1,15-4,3,8,2,5,43,1,1,2,5,2,3,2,2,,,,,,,
"Saturday, January 25, 2020 12:00 PM",39-4,41-0-2,57,18-20,4,78-0-2,23,4,19,8,9,32-1,5-244,761-0-32-40,43,7,18-0-1,18,4,17,2,3-1,1,15,27,33-72-1,6,28-4,3,10,3,11-58,62-0-1,1,1,2,7,2,3,2,3,4,1,3,,,,
