id,name,datetime,updated_date,lat,lng,city,province
63,福中福幸福海岸,2020/02/22 17:10:52,2020-02-07,22.560445,113.878457,深圳市,广东省
64,松新石岗大楼,2020/02/22 17:10:52,2020-02-07,22.766656,113.840416,深圳市,广东省
65,汉庭优佳酒店(西丽地铁站店),2020/02/22 17:10:52,2020-02-07,22.578740,113.954803,深圳市,广东省
66,万科云城-1期,2020/02/22 17:10:52,2020-02-07,22.573192,113.941285,深圳市,广东省
67,大磡一村,2020/02/22 17:10:52,2020-02-07,22.622096,113.975824,深圳市,广东省
68,水木丹华,2020/02/22 17:10:52,2020-02-07,22.591655,113.989480,深圳市,广东省
69,禾坪岗禾坪路5号,2020/02/22 17:10:52,2020-02-07,22.656914,114.066945,深圳市,广东省
70,雪象花园新村,2020/02/22 17:10:52,2020-02-07,22.650607,114.075350,深圳市,广东省
71,鼎尚华庭,2020/02/22 17:10:52,2020-02-07,22.773559,114.301661,深圳市,广东省
72,远洋新干线君域花园,2020/02/22 17:10:52,2020-02-07,22.718185,114.264584,深圳市,广东省
73,家和花园南区,2020/02/22 17:10:52,2020-02-07,22.611566,114.061451,深圳市,广东省
74,卓然居,2020/02/22 17:10:52,2020-02-07,22.643122,114.169575,深圳市,广东省
75,山厦社区南油花园,2020/02/22 17:10:52,2020-02-07,22.696760,114.110207,深圳市,广东省
76,横岭新村,2020/02/22 17:10:52,2020-02-06,22.778563,113.883629,深圳市,广东省
77,荣泰园,2020/02/22 17:10:52,2020-02-06,22.724401,113.822407,深圳市,广东省
78,御锦公馆,2020/02/22 17:10:52,2020-02-06,22.570847,114.057894,深圳市,广东省
79,香格里拉大酒店,2020/02/22 17:10:52,2020-02-06,22.536263,114.057237,深圳市,广东省
80,和磡村和磡路3号,2020/02/22 17:10:52,2020-02-06,22.623013,114.063193,深圳市,广东省
81,吉信街如家酒店,2020/02/22 17:10:52,2020-02-06,22.601259,114.116973,深圳市,广东省
82,布吉海心汇福园,2020/02/22 17:10:52,2020-02-06,22.617934,114.110862,深圳市,广东省
83,海淮路与海天一路交界处工地生活区,2020/02/22 17:10:52,2020-02-06,22.524667,113.944367,深圳市,广东省
84,雷公岭村,2020/02/22 17:10:52,2020-02-06,22.491727,113.927643,深圳市,广东省
85,海景嘉途酒店,2020/02/22 17:10:52,2020-02-06,22.534656,113.986459,深圳市,广东省
86,东方花园,2020/02/22 17:10:52,2020-02-06,22.532470,113.979434,深圳市,广东省
87,诺德假日花园,2020/02/22 17:10:52,2020-02-06,22.509943,113.903135,深圳市,广东省
88,海鹰大厦,2020/02/22 17:10:52,2020-02-05,22.581329,114.137418,深圳市,广东省
89,东纵路6-3号,2020/02/22 17:10:52,2020-02-05,22.689092,114.376444,深圳市,广东省
90,嶂背步行街,2020/02/22 17:10:52,2020-02-05,22.683975,114.242090,深圳市,广东省
91,新安街道灵芝新村,2020/02/22 17:10:52,2020-02-05,22.565373,113.909137,深圳市,广东省
92,民治街道锦绣江南,2020/02/22 17:10:52,2020-02-05,22.637080,114.029809,深圳市,广东省
93,观湖街道观壹城,2020/02/22 17:10:52,2020-02-05,22.716322,114.069163,深圳市,广东省
94,鸿翔花园,2020/02/22 17:10:52,2020-02-05,22.553929,114.106386,深圳市,广东省
95,恒立心海湾花园,2020/02/22 17:10:52,2020-02-05,22.500906,113.895074,深圳市,广东省
96,南光花园,2020/02/22 17:10:52,2020-02-05,22.521781,113.925039,深圳市,广东省
97,大冲新城花园,2020/02/22 17:10:52,2020-02-05,22.542502,113.951264,深圳市,广东省
98,园中花园,2020/02/22 17:10:52,2020-02-05,22.552134,114.099002,深圳市,广东省
99,东海国际公寓,2020/02/22 17:10:52,2020-02-05,22.536283,114.020480,深圳市,广东省
100,下梅林河背村,2020/02/22 17:10:52,2020-02-05,22.564042,114.042910,深圳市,广东省
101,香山美树苑,2020/02/22 17:10:52,2020-02-05,22.540553,114.014578,深圳市,广东省
102,龙田街道金茂园大酒店,2020/02/22 17:10:52,2020-01-31,22.700486,114.356444,深圳市,广东省
103,新安街道安乐花园,2020/02/22 17:10:52,2020-01-31,22.581210,113.898243,深圳市,广东省
104,嘉霖·龙禧(龙禧雅苑),2020/02/22 17:10:52,2020-01-31,22.739732,114.245124,深圳市,广东省
105,万豪酒店,2020/02/22 17:10:52,2020-01-31,22.569509,114.459416,深圳市,广东省
106,公明街道振明路南庄合众豪庭后面三巷,2020/02/22 17:10:52,2020-01-31,22.772403,113.907610,深圳市,广东省
107,坪山街道易林源酒店,2020/02/22 17:10:52,2020-01-31,22.684141,114.336042,深圳市,广东省
108,龙田街道东城大厦维也纳酒店,2020/02/22 17:10:52,2020-01-31,22.714921,114.394299,深圳市,广东省
109,罗湖村五坊,2020/02/22 17:10:52,2020-01-31,22.535697,114.121483,深圳市,广东省
110,西乡我们家公寓(海湾家2号楼),2020/02/22 17:10:52,2020-01-31,22.579723,113.859572,深圳市,广东省
111,南园街道南园路五邑大厦,2020/02/22 17:10:52,2020-01-31,22.538310,114.087446,深圳市,广东省
112,华浩源,2020/02/22 17:10:52,2020-01-31,22.623797,114.125139,深圳市,广东省
113,观澜街道华盛峰荟名庭2期,2020/02/22 17:10:52,2020-01-31,22.711875,114.042740,深圳市,广东省
114,观澜湖高尔夫大宅昆士(仕)顿区,2020/02/22 17:10:52,2020-01-31,22.735784,114.072695,深圳市,广东省
115,龙华圆酒店,2020/02/22 17:10:52,2020-01-31,22.625104,114.021744,深圳市,广东省
116,梅东三路半山御景,2020/02/22 17:10:52,2020-01-31,22.572865,114.070693,深圳市,广东省
117,益田花园豪园居,2020/02/22 17:10:52,2020-01-31,22.514670,114.057045,深圳市,广东省
118,碧华庭居翠园,2020/02/22 17:10:52,2020-01-31,22.563205,114.050565,深圳市,广东省
119,香蜜新村东区,2020/02/22 17:10:52,2020-01-31,22.546812,114.042471,深圳市,广东省
120,莲花街道景蜜村,2020/02/22 17:10:52,2020-01-31,22.555502,114.038162,深圳市,广东省
121,南山街道阳光棕榈园,2020/02/22 17:10:52,2020-01-31,22.525950,113.912797,深圳市,广东省
122,南山街道现代城华庭,2020/02/22 17:10:52,2020-01-31,22.517303,113.924490,深圳市,广东省
123,南山街道友邻公寓,2020/02/22 17:10:52,2020-01-31,22.531371,113.929756,深圳市,广东省
124,中洲万豪酒店,2020/02/22 17:10:52,2020-01-31,22.517560,113.933323,深圳市,广东省
125,宝能太古城北区,2020/02/22 17:10:52,2020-01-31,22.501386,113.939005,深圳市,广东省
126,蛇口街道四海公寓,2020/02/22 17:10:52,2020-01-31,22.494167,113.931405,深圳市,广东省
127,蔚蓝海岸,2020/02/22 17:10:52,2020-01-31,22.508005,113.935337,深圳市,广东省
128,民治街道金地梅陇镇,2020/02/22 17:10:52,2020-01-31,22.630777,114.032335,深圳市,广东省
129,蛇口街道东角头港湾花园,2020/02/22 17:10:52,2020-01-31,22.487033,113.934841,深圳市,广东省
130,观湖街道懿花园,2020/02/22 17:10:52,2020-01-31,22.693074,114.063869,深圳市,广东省
131,大冲宿禾服务式公寓,2020/02/22 17:10:52,2020-01-31,22.541683,113.952064,深圳市,广东省
132,龙城街道万象天成,2020/02/22 17:10:52,2020-01-31,22.723831,114.254335,深圳市,广东省
133,布吉街道百合山庄,2020/02/22 17:10:52,2020-01-31,22.595362,114.120189,深圳市,广东省
134,华侨城香山美墅,2020/02/22 17:10:52,2020-01-31,22.551210,113.969496,深圳市,广东省
135,龙岗街道宝能悦澜山,2020/02/22 17:10:52,2020-01-31,22.734873,114.250767,深圳市,广东省
136,科技园华润城,2020/02/22 17:10:52,2020-01-31,22.546587,113.954898,深圳市,广东省
137,航程街道南航明珠花园,2020/02/22 17:10:52,2020-01-31,22.604858,113.843009,深圳市,广东省
138,鸿丰大酒店,2020/02/22 17:10:52,2020-01-31,22.512356,113.912408,深圳市,广东省
139,福永街道星航华府,2020/02/22 17:10:52,2020-01-31,22.643270,113.832892,深圳市,广东省
140,沙河街道沙河东路世纪村,2020/02/22 17:10:52,2020-01-31,22.533365,113.965617,深圳市,广东省
141,明玉路11号花样年·花郡,2020/02/22 17:10:52,2020-01-31,22.564057,113.882032,深圳市,广东省
142,田贝二路金翠园,2020/02/22 17:10:52,2020-01-31,22.561035,114.129039,深圳市,广东省
143,红桂路红桂一街50号环保大院,2020/02/22 17:10:52,2020-01-31,22.547316,114.105690,深圳市,广东省
144,长城大酒店,2020/02/22 17:10:52,2020-01-31,22.550067,114.106880,深圳市,广东省
145,园岭新村,2020/02/22 17:10:52,2020-01-31,22.554192,114.100533,深圳市,广东省
146,福华新村,2020/02/22 17:10:52,2020-01-31,22.533692,114.071321,深圳市,广东省
147,侨香村,2020/02/22 17:10:52,2020-01-31,22.552970,114.013461,深圳市,广东省
148,蓝月湾畔,2020/02/22 17:10:52,2020-01-31,22.504013,113.935554,深圳市,广东省
149,锦绣花园,2020/02/22 17:10:52,2020-01-31,22.535039,113.995406,深圳市,广东省
150,民治街道梅龙苑,2020/02/22 17:10:52,2020-01-31,22.644701,114.036347,深圳市,广东省
151,桃源居,2020/02/22 17:10:52,2020-01-31,22.616875,113.864264,深圳市,广东省
